browser,extension_id,name
helium,aeblfdkhhhdcdjpifhhbdiojplfjncoa,1Password
helium,cacoibopgjlodngfokahhkphgcohakai,gRPC-Web Developer Tools
helium,ccnnhhnmpoffieppjjkhdakcoejcpbga,Rearrange Tabs
helium,femlmfpifefkfnpodfflonahfggcahda,Mac AutoScroll
helium,fgacdjnoljjfikkadhogeofgjoglooma,Raycast Companion
helium,fmkadmapgofadopljbjfkapdkoienihi,React Developer Tools
helium,hehggadaopoacecdllhhajmbjkdcmajg,ChatGPT
helium,kbfnbcaeplbcioakkpcpgfkobkghlhen,Grammarly
helium,lahhiofdgnbcgmemekkmjnpifojdaelb,Vercel
chrome,fmkadmapgofadopljbjfkapdkoienihi,React Developer Tools
