github_repository,home_relative_path
giacomoguidotto/agentic-os,dev/life/agentic-os
giacomoguidotto/blueprint,dev/life/blueprint
giacomoguidotto/career-system,dev/life/career-system
giacomoguidotto/ea-poc,dev/life/ea-poc
giacomoguidotto/ginevrarenier,dev/life/ginevrarenier
giacomoguidotto/guidotto.dev,dev/life/guidotto.dev
giacomoguidotto/infra,dev/life/infra
giacomoguidotto/knowledge-system,dev/life/knowledge-system
giacomoguidotto/mastery-system,dev/life/mastery-system
orrery-proj/orrery,dev/life/orray
orrery-proj/orrery-poc,dev/life/orray-poc
giacomoguidotto/resume,dev/life/resume
giacomoguidotto/scry,dev/life/scry
giacomoguidotto/skills,dev/life/skills
giacomoguidotto/tempo,dev/life/tempo
giacomoguidotto/anypinn,dev/uni/anypinn
giacomoguidotto/bsc-thesis,dev/uni/bsc-thesis
giacomoguidotto/bsc-thesis-paper,dev/uni/bsc-thesis-paper
